distance_km,current_speed,preceding_gap_km,signal_aspect,congestion_index,weather_impact,speed_restriction,actual_time_mins
76,106.55,18.84,2,0.24,1.0,30,157.89
84,41.44,24.31,2,0.29,1.0,50,129.0
76,82.82,2.16,0,0.57,1.0,30,264.14
76,76.0,15.63,0,0.65,1.0,30,264.27
76,105.95,14.96,2,0.11,1.0,50,95.86
84,103.65,7.95,2,0.38,1.0,110,57.91
15,42.19,21.37,2,0.46,1.5,110,41.58
76,43.17,9.48,2,0.34,1.2,80,132.09
76,82.49,8.35,1,0.25,1.0,80,99.17
84,53.92,18.36,2,0.65,1.5,110,151.1
76,100.42,16.34,2,0.16,1.0,80,62.17
84,79.29,10.81,2,0.86,1.2,50,137.28
15,74.57,14.02,2,0.12,1.0,30,32.42
76,103.53,7.73,2,0.78,1.0,30,166.74
84,88.63,22.25,2,0.37,1.0,80,70.08
15,77.75,20.57,2,0.39,1.0,50,24.39
15,40.04,10.11,2,0.25,1.0,80,27.11
84,62.62,13.93,2,0.43,1.5,110,130.04
15,88.74,18.38,1,1.0,1.0,110,33.43
68,84.4,17.66,2,0.5,1.0,110,57.8
84,65.88,7.57,2,0.52,1.5,80,125.12
68,62.45,6.29,0,0.63,1.0,30,238.69
84,96.67,10.02,0,0.95,1.0,110,103.58
68,47.94,23.27,2,0.33,1.0,110,93.01
68,76.16,8.0,2,0.97,1.0,110,69.5
84,90.82,22.63,2,0.8,1.0,30,181.18
76,102.9,15.95,0,0.19,1.0,30,258.38
15,71.39,24.87,1,0.12,1.0,50,32.53
84,86.03,15.07,0,0.43,1.0,50,176.39
15,103.43,11.99,2,0.68,1.0,110,21.25
76,90.57,8.46,0,0.68,1.0,110,96.0
55,80.06,24.55,0,0.38,1.0,80,77.12
84,51.86,14.81,2,0.73,1.0,30,180.95
62,62.58,21.52,1,0.74,1.0,80,111.0
62,96.71,21.94,2,0.56,1.0,110,50.2
15,102.3,9.77,2,0.18,1.0,30,35.76
68,50.85,24.58,2,0.87,1.0,30,151.47
55,76.56,19.71,1,0.66,1.0,30,193.36
76,68.79,18.09,1,0.22,1.5,110,170.9
84,70.73,3.8,0,0.97,1.2,110,158.53
55,44.07,23.05,2,0.32,1.0,50,81.8
55,91.65,14.75,2,0.48,1.0,80,50.99
55,48.41,9.86,0,0.18,1.0,110,119.08
76,52.12,11.98,2,0.65,1.0,30,164.41
62,83.81,13.57,2,0.69,1.0,30,136.19
84,96.07,17.57,2,0.22,1.2,110,68.25
76,67.03,24.11,2,0.28,1.0,50,96.86
55,99.14,2.54,2,0.35,1.0,110,62.99
55,105.57,2.9,2,0.97,1.0,80,87.18
84,68.88,10.56,2,0.41,1.5,110,119.54
68,87.59,19.02,1,0.44,1.0,80,92.05
84,67.24,2.25,2,0.18,1.0,110,128.81
76,80.14,16.53,2,0.36,1.0,110,65.13
68,47.94,23.41,2,1.0,1.0,110,102.71
55,64.56,4.69,1,0.79,1.0,50,124.03
62,67.77,22.51,1,0.56,1.0,110,101.41
55,65.94,20.69,2,0.99,1.2,80,74.82
62,63.12,11.99,1,0.46,1.0,110,108.77
55,97.6,19.12,2,0.31,1.0,80,48.01
55,107.43,2.28,2,0.14,1.2,110,64.68
84,104.34,7.82,2,0.17,1.0,50,104.42
68,104.07,24.05,0,0.46,1.0,80,95.35
62,53.17,12.67,2,0.63,1.0,110,79.43
76,82.19,8.23,1,0.17,1.5,80,147.39
55,82.94,11.62,2,0.88,1.0,30,126.37
68,66.37,19.24,2,0.85,1.0,30,150.22
68,69.04,8.29,0,0.88,1.2,110,133.38
55,90.83,19.41,2,0.32,1.0,80,48.05
55,82.43,7.26,2,0.66,1.0,50,78.09
15,98.2,9.08,2,0.97,1.0,110,27.78
68,49.38,2.66,2,0.66,1.2,50,178.18
15,78.84,4.09,2,0.59,1.0,110,28.16
15,83.55,21.83,2,0.23,1.5,80,22.08
62,83.46,9.99,1,0.62,1.0,110,83.95
84,49.72,16.74,1,0.41,1.2,80,209.92
62,55.67,20.9,2,0.41,1.0,110,75.52
55,72.25,6.75,2,0.55,1.0,30,120.81
15,50.99,10.68,0,0.88,1.0,110,45.85
76,54.65,10.52,2,0.66,1.0,80,96.13
15,92.47,2.7,2,0.42,1.0,50,37.29
55,52.76,14.97,2,0.18,1.0,50,70.35
62,95.24,13.46,0,0.58,1.0,110,73.74
68,79.51,10.71,2,0.91,1.0,50,95.17
68,56.61,4.34,1,0.32,1.0,50,142.8
15,96.41,3.28,2,0.15,1.0,110,20.55
15,108.25,13.29,2,0.84,1.2,110,24.7
62,59.6,19.7,1,0.39,1.0,110,111.44
62,93.74,4.01,2,0.94,1.0,110,81.91
15,63.56,5.09,0,0.99,1.0,110,41.3
68,48.17,12.88,2,0.81,1.0,110,97.8
76,107.55,4.86,2,0.94,1.0,30,269.99
55,49.78,20.29,1,0.25,1.0,110,117.77
84,84.36,22.88,2,0.63,1.0,80,74.99
55,61.1,19.2,2,0.31,1.2,80,71.75
15,44.66,7.27,2,0.49,1.0,110,28.59
55,74.68,19.05,2,1.0,1.2,110,70.51
84,92.08,2.77,2,0.79,1.2,80,141.08
55,74.05,11.41,2,0.11,1.0,110,47.79
62,57.63,9.95,1,0.92,1.0,80,124.01
76,103.83,5.2,1,0.33,1.2,110,94.74
76,79.56,18.02,2,0.74,1.0,110,69.02
55,47.3,21.33,2,0.21,1.0,50,76.82
76,48.73,23.18,2,0.57,1.0,80,103.93
76,95.15,15.89,1,0.47,1.2,110,104.52
62,73.66,23.12,2,0.13,1.5,50,114.35
55,104.04,10.34,2,0.67,1.0,110,44.03
68,107.27,5.42,2,0.18,1.5,110,61.02
84,54.69,22.66,1,0.27,1.0,80,159.81
84,44.6,19.84,2,0.57,1.0,80,122.41
68,63.41,3.74,2,0.35,1.2,110,136.08
68,41.78,5.59,2,0.69,1.0,50,110.78
55,81.65,9.8,2,0.9,1.0,110,54.77
84,57.02,18.61,2,0.85,1.0,110,102.44
62,40.91,3.97,1,0.12,1.0,110,154.47
76,89.28,22.94,2,0.4,1.2,80,77.62
68,70.53,8.77,2,0.79,1.0,110,70.99
84,102.62,20.4,2,0.12,1.0,110,51.57
15,85.15,11.7,1,0.91,1.0,110,34.02
15,104.0,4.71,2,0.35,1.0,110,21.15
62,49.8,8.06,1,0.76,1.0,110,138.41
55,52.28,23.03,2,0.44,1.0,30,119.19
84,46.32,19.73,0,0.85,1.0,110,195.41
84,60.8,15.03,2,0.7,1.5,110,137.41
84,99.25,23.97,1,0.66,1.0,80,115.4
68,68.9,18.21,2,0.51,1.0,30,146.69
68,49.58,23.86,2,0.27,1.0,110,87.7
55,93.13,18.65,2,0.98,1.5,110,69.6
62,42.76,18.23,2,0.26,1.0,110,93.06
15,48.44,18.81,1,0.2,1.0,110,37.38
68,85.51,10.39,2,0.53,1.2,110,64.54
62,90.73,3.5,2,0.59,1.2,80,104.65
62,101.37,11.6,2,0.99,1.0,50,91.55
62,105.73,20.37,2,0.42,1.2,80,66.33
76,108.89,19.67,2,0.48,1.2,50,118.27
84,72.71,8.83,2,0.74,1.0,80,82.23
76,55.28,23.85,2,0.18,1.0,110,86.32
15,82.06,22.79,2,0.77,1.0,80,24.31
84,75.89,7.31,1,0.3,1.0,110,117.76
15,96.05,16.48,1,0.57,1.0,110,26.22
62,88.72,5.54,2,0.3,1.0,110,46.75
68,102.64,21.78,2,0.45,1.0,80,59.71
68,78.56,4.0,2,0.44,1.0,110,94.9
62,77.28,24.13,1,0.91,1.5,30,325.62
84,97.73,10.0,2,0.61,1.0,110,63.74
84,100.77,7.64,1,0.24,1.0,50,172.74
55,101.66,22.05,0,0.84,1.0,80,83.99
15,103.61,2.03,2,0.78,1.0,50,43.47
68,84.23,7.98,2,0.59,1.2,50,108.11
15,41.29,11.94,2,0.45,1.0,110,30.04
76,44.75,8.92,2,0.16,1.0,80,106.8
62,45.23,21.61,2,0.71,1.0,110,93.17
55,41.55,9.44,2,0.79,1.0,80,94.71
15,72.8,23.72,1,0.87,1.0,110,36.47
15,56.1,5.02,2,0.97,1.0,110,32.05
55,84.7,11.14,1,0.99,1.0,110,81.01
68,85.62,10.48,2,0.53,1.5,50,131.62
68,46.38,5.53,2,0.58,1.0,110,99.14
62,83.17,20.32,2,0.21,1.0,110,49.56
76,79.09,7.19,1,0.69,1.0,110,108.69
68,40.81,3.67,2,0.53,1.0,80,176.55
55,92.99,23.91,2,0.75,1.2,50,92.64
15,83.27,18.16,2,0.11,1.0,110,13.53
68,101.78,3.9,2,0.42,1.0,110,75.77
62,42.88,17.42,2,0.21,1.2,110,108.3
68,43.64,14.45,2,0.88,1.2,110,128.5
84,102.64,14.59,2,0.51,1.0,110,58.18
62,70.7,18.67,2,0.69,1.0,110,64.54
55,52.75,20.16,2,0.55,1.0,110,70.76
15,63.26,14.48,2,0.17,1.0,50,21.26
76,52.19,24.1,2,0.86,1.0,110,101.92
15,109.14,2.92,2,0.62,1.0,110,26.14
62,95.51,17.07,2,0.36,1.0,80,53.79
62,84.21,18.86,1,0.74,1.5,50,199.49
55,70.6,4.24,2,0.63,1.0,110,89.11
15,85.65,9.18,2,0.87,1.0,110,23.97
84,101.86,12.17,2,0.5,1.0,50,111.9
55,57.41,16.19,2,0.25,1.0,30,116.6
55,94.73,18.22,2,0.88,1.0,110,51.23
76,58.88,3.31,2,0.94,1.0,50,168.88
55,47.23,15.45,2,0.46,1.0,110,78.65
15,106.63,16.7,2,0.51,1.0,80,20.02
15,61.56,18.21,1,0.71,1.5,30,87.99
55,71.06,21.97,1,0.72,1.2,110,105.7
68,98.16,21.89,2,0.2,1.2,110,56.91
68,55.1,17.15,2,0.69,1.0,110,86.28
55,94.77,15.04,2,0.89,1.0,80,56.94
15,70.67,22.73,2,0.39,1.2,80,24.04
55,62.72,10.43,2,0.73,1.0,80,64.17
68,78.2,12.22,0,0.63,1.0,110,98.39
55,100.43,13.94,2,0.12,1.0,80,46.72
62,76.86,7.66,2,0.45,1.0,110,57.4
55,53.7,2.17,2,0.91,1.0,110,119.86
76,105.41,10.09,1,0.54,1.0,80,106.03
84,80.67,4.06,2,0.46,1.5,110,164.48
15,52.68,17.67,1,0.57,1.2,50,45.0
76,69.72,4.0,2,0.44,1.0,50,160.98
55,82.11,20.84,2,0.31,1.0,110,47.92
68,56.58,19.95,1,0.84,1.0,110,134.49
62,93.67,5.44,2,0.24,1.0,110,47.75
15,41.65,16.77,2,0.59,1.0,80,30.59
55,44.09,5.26,1,0.64,1.0,80,138.01
84,109.39,4.95,1,0.75,1.0,80,117.87
15,58.54,16.84,2,0.46,1.0,80,23.27
76,44.73,20.41,1,0.59,1.2,110,216.75
15,56.16,12.51,1,0.15,1.0,80,30.9
76,44.21,14.93,2,0.26,1.0,50,109.12
62,46.77,12.36,2,0.41,1.0,110,86.64
55,91.6,19.68,1,0.7,1.0,80,81.0
68,82.59,13.66,1,0.16,1.0,50,139.2
62,105.59,14.74,2,0.46,1.0,110,42.55
15,104.36,13.43,2,0.87,1.0,110,23.7
84,87.2,14.25,2,0.23,1.0,110,63.11
55,41.6,5.54,1,0.96,1.0,110,147.91
68,104.59,13.2,2,0.79,1.0,110,55.46
68,97.76,17.33,1,0.53,1.0,50,146.2
15,101.33,8.39,2,0.1,1.0,110,11.42
84,67.05,14.98,1,0.29,1.0,110,130.14
84,51.95,3.72,2,0.34,1.0,110,169.67
68,75.66,24.92,2,0.65,1.0,110,63.18
55,102.06,12.35,1,0.43,1.0,110,63.29
55,67.1,24.17,1,0.22,1.0,110,89.03
55,55.06,2.28,1,0.98,1.2,110,137.33
76,66.0,8.11,2,0.55,1.0,50,102.17
84,66.31,11.07,2,0.81,1.2,110,104.06
68,86.11,23.69,2,0.17,1.0,110,52.72
76,84.6,17.17,2,0.67,1.0,30,163.38
55,50.51,18.96,2,0.71,1.0,30,122.32
84,40.85,24.0,2,0.42,1.0,80,131.84
84,86.3,6.26,1,0.19,1.0,110,103.16
68,108.32,17.35,0,0.33,1.0,30,232.86
68,77.12,2.96,2,0.82,1.0,110,103.91
76,50.96,3.01,1,0.64,1.0,80,162.5
15,70.76,16.1,2,0.32,1.0,50,25.06
84,87.0,9.29,2,0.33,1.0,110,65.73
15,72.24,21.37,2,0.8,1.0,50,32.31
15,77.77,18.74,1,0.72,1.0,110,32.07
84,50.55,9.87,2,0.78,1.2,110,133.55
68,93.28,5.68,2,0.11,1.0,110,46.51
68,59.45,6.46,2,0.69,1.0,110,81.44
62,64.88,20.03,2,0.1,1.2,30,153.56
68,40.77,19.24,2,0.71,1.2,110,132.97
62,65.78,12.32,2,0.9,1.0,80,68.66
55,40.13,6.1,0,0.25,1.0,80,143.78
55,84.96,3.49,2,0.61,1.0,110,75.56
62,81.96,15.85,0,0.39,1.0,50,132.92
62,89.54,20.14,2,0.5,1.0,80,56.79
68,46.2,7.07,2,0.76,1.5,110,144.87
76,74.73,6.1,2,0.99,1.2,110,91.96
62,81.14,6.24,2,0.4,1.0,30,131.49
68,105.07,20.0,0,0.87,1.0,80,100.78
55,73.66,12.01,2,0.74,1.0,30,122.76
76,85.99,24.0,0,0.15,1.0,80,98.27
84,59.29,20.1,2,0.43,1.0,110,92.8
76,42.35,3.44,2,0.23,1.0,80,184.34
15,102.99,2.5,2,0.97,1.0,110,30.96
15,91.16,24.57,1,0.69,1.0,110,28.18
84,61.61,23.78,2,0.26,1.0,110,86.95
15,79.29,14.04,1,0.87,1.2,30,74.95
15,78.42,16.1,1,0.86,1.0,50,43.81
62,72.36,11.47,2,0.59,1.0,110,62.92
76,64.92,24.5,2,0.55,1.0,110,82.04
76,76.36,6.71,2,0.89,1.2,50,125.09
68,79.21,19.27,2,0.6,1.0,80,61.7
84,47.38,17.11,2,0.44,1.2,110,134.76
76,76.63,8.6,2,0.62,1.0,110,71.57
62,51.06,18.01,2,0.39,1.2,110,95.02
62,51.82,13.66,2,0.13,1.0,110,75.19
15,83.07,3.92,2,0.82,1.0,110,33.35
55,108.89,17.36,2,0.25,1.2,80,56.43
68,97.61,6.82,2,0.98,1.0,80,70.23
15,77.86,18.34,2,0.52,1.2,80,23.64
84,101.59,14.09,1,0.2,1.0,110,85.47
84,49.94,10.0,2,0.77,1.0,110,115.53
84,99.06,7.84,0,0.77,1.0,80,118.05
76,87.72,5.84,2,0.99,1.0,30,169.76
15,65.23,3.58,2,0.47,1.2,110,36.23
68,93.62,20.13,2,0.33,1.5,110,71.42
15,72.23,21.88,2,0.44,1.5,50,35.79
76,41.26,11.69,0,0.97,1.0,110,201.59
55,107.4,18.71,2,0.85,1.0,110,45.92
15,55.29,4.77,0,0.34,1.0,110,35.01
55,60.81,8.9,2,0.14,1.5,110,85.0
68,63.13,9.83,2,0.66,1.0,110,76.03
84,109.68,21.68,2,0.16,1.2,110,57.81
68,91.63,14.08,0,0.88,1.0,110,88.32
84,102.48,12.2,2,0.67,1.0,110,61.09
76,87.35,5.03,1,0.81,1.5,80,156.41
68,75.44,16.58,0,0.33,1.0,80,95.32
62,103.52,7.49,2,0.51,1.0,110,43.0
76,54.49,13.88,0,0.11,1.0,30,255.49
76,59.94,12.65,2,0.3,1.0,30,159.28
68,83.19,4.62,2,0.56,1.2,80,111.77
84,43.14,12.36,2,0.25,1.0,110,122.9
55,82.55,9.12,2,0.96,1.2,30,149.16
84,40.15,18.5,2,0.14,1.2,80,155.77
76,65.83,4.78,2,0.78,1.0,30,267.57
